Place Name,Location,Category,Description,Rating,State,latitude,longitude,Entities
Ganpatipule,Ratnagiri District,Pilgrimage Site,"Pilgrimage site known for the Ganpatipule Temple, pristine beach, and the famous Ganpatipule Swayambhu.",4.6,maharastra,16.8272,73.313, the Ganpatipule Temple Ganpatipule Swayambhu
Aurangabad Caves,Aurangabad,Historical Site,"Ancient Buddhist caves with intricate carvings, showcasing the rich cultural heritage of Maharashtra.",4.3,maharastra,20.0219,75.1699, Buddhist Maharashtra
Grishneshwar Temple,Aurangabad,Hindu Temple,"One of the 12 Jyotirlingas of Lord Shiva, attracting devotees from across the country.",4.5,maharastra,20.0222,75.2197, One 12 Jyotirlingas
Elephanta Caves,Mumbai,Historical Site,UNESCO World Heritage Site featuring ancient cave temples dedicated to Lord Shiva.,4.2,maharastra,18.9647,72.93, UNESCO World Heritage Site
Jawahar Hill Station,Thane District,Hill Station,"Hill station known for its scenic beauty, waterfalls, and the famous Sunset Point.",4.3,maharastra,19.9245,73.436, Hill Sunset Point
Chikhaldara,Amravati District,Hill Station,"Hill station known for its misty valleys, wildlife sanctuary, and serene ambiance.",4.5,maharastra,21.244,77.5176, Hill
Bhandardara,Ahmednagar District,Hill Station,"Picturesque hill station known for its lakes, waterfalls, and the famous Wilson Dam.",4.4,maharastra,19.5496,73.7322, Picturesque hill Wilson Dam
Karnala Bird Sanctuary,Raigad District,Wildlife Sanctuary,"Bird sanctuary home to various species of birds, offering birdwatching and nature trails.",4.2,maharastra,18.9117,73.1262, Bird
Visakhapatnam,Visakhapatnam,Beach,City with stunning beaches like R.K. Beach and Rushikonda Beach,4.4,andhra pradesh,17.6868,83.2185, R.K. Beach Rushikonda Beach
Guntur,Guntur,Historical,Historical city with Amaravati Buddhist Sites and Kondavid Fort,4,andhra pradesh,16.307,80.4365, Amaravati Kondavid Fort
Nellore,Nellore,Beach,Coastal city known for Nellore Paddy Fields and Pulicat Lake,4.1,andhra pradesh,14.4426,79.9865, Nellore Paddy Fields Pulicat Lake
Kurnool,Kurnool,Historical,Historical city with Kurnool Fort and Belum Caves,4.2,andhra pradesh,15.8281,78.0373, Kurnool Fort Belum Caves
Kakinada,Kakinada,Beach,Picturesque coastal city known for Coringa Wildlife Sanctuary,4.1,andhra pradesh,16.9891,82.2475, Coringa Wildlife
Chittoor,Chittoor,Pilgrimage,Pilgrimage city with Kanipakam Vinayaka Temple and Srikalahasti Temple,4.1,andhra pradesh,13.2174,79.1004, Kanipakam Vinayaka Temple
Kadapa,Kadapa,Historical,Historical city with Gandikota Fort and Ameen Peer Dargah,4,andhra pradesh,14.4674,78.8241, Gandikota Fort Ameen Peer Dargah
Kuppam,Kuppam,Scenic,Nature retreat with Horsley Hills and Koundinya Wildlife Sanctuary,4.2,andhra pradesh,13.3643,78.2506, Horsley Hills Koundinya Wildlife Sanctuary
Adoni,Adoni,Historical,Famous for Jumma Masjid and Adoni Fort,3.9,andhra pradesh,15.6288,77.2728, Jumma Masjid Adoni Fort
Machilipatnam,Machilipatnam,Historical,Historical town known for Machilipatnam Fort and Manginapudi Beach,4,andhra pradesh,16.1875,81.1385, Machilipatnam Fort Manginapudi Beach
Mahanandi,Kurnool,Pilgrimage,"Mahanandi is a famous pilgrimage site located in the Kurnool district of Andhra Pradesh. It is known for its ancient Mahanandiswara Temple, which is dedicated to Lord Shiva. The temple is surrounded by natural beauty, and the area is also famous for its hot springs.",4.4,andhra pradesh,15.3804,78.0515, Mahanandi Kurnool Andhra Pradesh Mahanandiswara Temple Shiva
Yaganti Caves,Kurnool,Pilgrimage,"Yaganti Caves are a group of natural caves located in the Kurnool district of Andhra Pradesh. The caves are known for their unique rock formations and are considered to be sacred by Hindus. The area is also home to the Yaganti Temple, which is dedicated to Lord Shiva.",4.4,andhra pradesh,15.1605,78.0831, Yaganti Caves Kurnool Andhra Pradesh Hindus the Yaganti Temple
Sri Venkateswara Temple,Tirupati,Pilgrimage,"Sri Venkateswara Temple is a world-renowned Hindu temple located in the town of Tirupati in Andhra Pradesh. The temple is dedicated to Lord Venkateswara, an incarnation of Lord Vishnu, and is one of the most visited pilgrimage sites in the world. It is located on the seven hills of Tirumala and is known for its grandeur and beauty.",4.7,andhra pradesh,13.678,79.3521, Sri Venkateswara Temple Hindu Tirupati Andhra Venkateswara Vishnu seven Tirumala
Mypadu Beach,Nellore,Beach,"Mypadu Beach is a beautiful beach located in Nellore district of Andhra Pradesh. It is known for its golden sands, clear blue waters, and serene surroundings. The beach is a popular spot for relaxation, water sports, and picnicking.",4.1,andhra pradesh,14.2568,80.1966, Mypadu Beach Nellore Andhra Pradesh
Ahobilam,Kurnool,Pilgrimage,"Ahobilam is a sacred pilgrimage site located in the Kurnool district of Andhra Pradesh. It is known for its temples dedicated to Lord Narasimha, an incarnation of Lord Vishnu. The temples are situated in the Nallamala Hills and are visited by devotees seeking blessings and spiritual solace.",4.5,andhra pradesh,15.2825,78.1368, Ahobilam Kurnool Andhra Pradesh the Nallamala Hills
Penchalakona,Kadapa,Pilgrimage,"Penchalakona is a holy site located in Kadapa district of Andhra Pradesh. It is known for the Penchalakona Temple, which is dedicated to Lord Narasimha. The temple is believed to be the place where Lord Narasimha appeared from a rock to bless his devotees.",4.2,andhra pradesh,14.1202,79.2957, Penchalakona Kadapa district Andhra Pradesh the Penchalakona Temple Narasimha
Kaundinya Wildlife Sanctuary,Chittoor,Wildlife Sanctuary,"Kaundinya Wildlife Sanctuary is a protected area located in Chittoor district of Andhra Pradesh. It is home to a variety of flora and fauna, including several endangered species. The sanctuary offers opportunities for wildlife viewing, birdwatching, and nature walks.",4.1,andhra pradesh,13.4337,78.5432, Kaundinya Wildlife Sanctuary Chittoor Andhra Pradesh
NTR Beach,Visakhapatnam,Beach,"NTR Beach, also known as the R.K. Beach, is a popular beach located in Visakhapatnam. It is named after the former Chief Minister of Andhra Pradesh, Nandamuri Taraka Rama Rao. The beach is known for its long stretch of golden sands, palm-fringed promenade, and various recreational activities.",4.4,andhra pradesh,17.7041,83.3008, NTR Beach R.K. Beach Visakhapatnam Andhra Pradesh Nandamuri Taraka
Pulicat Lake,Nellore,Lake,Pulicat Lake is a brackish water lake located in Nellore district of Andhra Pradesh. It is the second-largest lagoon in India and is known for its rich biodiversity. The lake is home to several migratory birds and is a haven for birdwatchers.,4.3,andhra pradesh,13.5792,80.1675, Pulicat Lake Nellore Andhra Pradesh second India
Ameen Peer Dargah,Kadapa,Pilgrimage,Ameen Peer Dargah is a revered Muslim shrine located in Kadapa. It is dedicated to the Sufi saint Hazrat Khwaja Syed Sha Ameenullah Hussaini Quadri. The dargah attracts devotees from different faiths and is known for its peaceful ambiance.,4.6,andhra pradesh,14.4673,78.824, Ameen Peer Dargah Muslim Kadapa Sufi Hazrat Khwaja Syed Sha Ameenullah Hussaini
Gandikota Fort,Kadapa,Historical,"Gandikota Fort is a historic fort situated on the banks of the Penna River in Kadapa district. It is often called the Grand Canyon of India"" due to its stunning gorge views. The fort showcases a blend of Hindu and Islamic architectural styles.""",4.5,andhra pradesh,14.8172,78.2772, Gandikota Fort the Penna River Kadapa district the Grand Canyon India Hindu Islamic
Kanipakam Vinayaka Temple,Chittoor,Pilgrimage,"Kanipakam Vinayaka Temple is a popular Hindu temple located in Chittoor district. It is dedicated to Lord Ganesha and is known for its swayambhu idol, which is said to be self-manifested. The temple is frequented by devotees seeking blessings and fulfillment of their wishes.",4.6,andhra pradesh,13.6045,79.3897, Kanipakam Vinayaka Temple Hindu Chittoor Ganesha swayambhu idol
Manginapudi Beach,Machilipatnam,Beach,Manginapudi Beach is a serene beach located near Machilipatnam town. It offers picturesque views of the Bay of Bengal and is known for its calm waters. The beach is a favorite spot for locals and tourists to relax and enjoy the coastal beauty.,4.3,andhra pradesh,16.1429,81.1471, Manginapudi Beach Machilipatnam the Bay of Bengal
Dutch Cemetery,Machilipatnam,Historical,Dutch Cemetery is a historic cemetery located in Machilipatnam. It dates back to the Dutch colonial era and contains tombstones and graves of Dutch settlers. The cemetery stands as a testament to the town's colonial past and attracts history enthusiasts.,4.2,andhra pradesh,16.1735,81.1422, Dutch Cemetery Machilipatnam Dutch Dutch
Gopalapatnam,Visakhapatnam,Historical,"Gopalapatnam is an ancient village located in Visakhapatnam. It is considered one of the oldest settlements in the area and is known for its historical and archaeological significance. The village houses ancient relics, including Buddhist stupas and brick structures.",4.1,andhra pradesh,17.6927,83.1702, Gopalapatnam Visakhapatnam Buddhist
Sela Pass,Tawang,Scenic,"Sela Pass is a high-altitude mountain pass located on the way to Tawang. It is situated at an elevation of 13,700 feet and offers breathtaking views of snow-clad peaks, frozen lakes, and picturesque valleys. The pass is also known for its religious significance.",4.6,arunachal pradesh,27.6319,91.5209," Sela Pass Tawang 13,700 feet"
Nuranang Falls,Tawang,Waterfall,"Nuranang Falls, also known as Jang Falls or Bong Bong Falls, is a mesmerizing waterfall located near Jang in Tawang district. The waterfall cascades down from a height of approximately 100 meters amidst lush greenery. It is a popular tourist attraction and a photographer's delight.",4.3,arunachal pradesh,27.717,92.4557, Nuranang Falls Jang Falls Bong Bong Falls Jang Tawang approximately 100 meters lush greenery
Dirang Valley,Dirang,Valley,"Dirang Valley is a picturesque valley nestled in the West Kameng district. It is known for its scenic beauty, apple orchards, and hot water springs. The valley offers panoramic views of snow-clad mountains and is an ideal destination for nature lovers and adventure enthusiasts.",4.4,arunachal pradesh,27.329,92.2422, Dirang Valley West Kameng apple orchards
Ziro Valley,Lower Subansiri,Valley,"Ziro Valley is a captivating valley located in Lower Subansiri district. It is renowned for its lush green landscapes, rice fields, and traditional tribal villages. The valley is home to the Apatani tribe and offers opportunities for trekking, camping, and exploring the unique tribal culture.",4.5,arunachal pradesh,27.5727,93.8283, Ziro Valley Lower Subansiri Apatani
Talley Valley Wildlife Sanctuary,Kamle,Wildlife Sanctuary,"Talley Valley Wildlife Sanctuary is a pristine wildlife sanctuary situated in Kamle district. It is known for its rich biodiversity, including various species of flora and fauna. The sanctuary offers trekking trails, birdwatching opportunities, and a chance to experience the untouched wilderness.",4.2,arunachal pradesh,27.1967,93.1685, Talley Valley Wildlife Sanctuary Kamle
Namdapha National Park,Changlang,Wildlife Sanctuary,"Namdapha National Park is a vast national park located in Changlang district. It is the largest protected area in the Eastern Himalayan biodiversity hotspot and is recognized as a UNESCO World Heritage Site. The park is home to diverse wildlife, including the elusive snow leopard and the Bengal tiger.",4.5,arunachal pradesh,27.2317,96.4835, Namdapha National Park Changlang Eastern Himalayan UNESCO World Heritage Site Bengal
Golden Pagoda,Namsai,Religious Site,"Golden Pagoda, also known as Kongmu Kham, is a magnificent Buddhist temple complex situated in Namsai district. The pagoda showcases Burmese architecture and houses several golden
Bhalukpong,Bhalukpong,Adventure,Bhalukpong is a small town located in the West Kameng district. It serves as the entry point to Arunachal Pradesh and offers adventure activities like river rafting, trekking and fishing",4.2,arunachal pradesh,27.0323,92.5944, Golden Pagoda Kongmu Kham Buddhist Namsai Burmese Bhalukpong Bhalukpong Adventure Bhalukpong West Kameng Arunachal Pradesh
Sangti Valley,Dirang,Valley,"Sangti Valley is a scenic valley situated near Dirang. It is known for its picturesque landscapes, apple orchards, and a variety of bird species. The valley is a paradise for nature lovers and offers opportunities for camping, birdwatching, and peaceful walks amidst nature.",4.3,arunachal pradesh,27.383,92.3159, Sangti Valley Dirang
Parasuram Kund,Lohit,Pilgrimage,Parasuram Kund is a revered pilgrimage site located in Lohit district. It is believed to be the place where sage Parasurama washed away his sins in the sacred waters. The kund attracts devotees during the annual Makar Sankranti festival and offers a serene and spiritual environment.,4.5,arunachal pradesh,27.7361,96.455, Parasuram Kund Lohit Parasurama annual Makar Sankranti
Mechuka,West Siang,Hill Station,"Mechuka is a charming hill station situated in West Siang district. It is known for its pristine beauty, snow-capped mountains, and the mesmerizing Mechuka Valley. The town offers adventure activities like trekking, paragliding, and angling, along with a glimpse into the unique culture of the Memba tribe.",4.4,arunachal pradesh,28.0333,94.4167, West Siang Mechuka Valley Memba
Bumla Pass,Tawang,Scenic,Bumla Pass is a mountain pass situated at the Indo-China border in Tawang district. It is known for its strategic importance and offers panoramic views of the snow-clad mountains and pristine landscapes. Visitors require special permits to visit Bumla Pass and experience its natural beauty.,4.5,arunachal pradesh,28.2085,91.9612, Bumla Pass Tawang Bumla Pass
Sangestar Tso Lake,Tawang,Lake,"Sangestar Tso Lake, also known as Pankang Teng Tso Lake, is a stunning high-altitude lake located in Tawang district. It is surrounded by snow-capped mountains and offers breathtaking views of the natural beauty. The lake is considered sacred by the local Monpa tribe.",4.3,arunachal pradesh,28.2123,91.7212, Pankang Teng Tso Lake Tawang Monpa
Dong Valley,Anjaw,Valley,"Dong Valley is a hidden gem located in Anjaw district. It is a picturesque valley surrounded by lush forests, gushing rivers, and scenic landscapes. The valley offers opportunities for trekking, birdwatching, and exploring the unique flora and fauna of the region.",4.2,arunachal pradesh,28.4153,96.9657, Dong Valley Anjaw
Daporijo,Upper Subansiri,Town,"Daporijo is a scenic town situated in Upper Subansiri district. It is known for its beautiful landscapes, gorges, and rivers. The town provides a glimpse into the indigenous tribal culture of the Tagin tribe. Visitors can explore traditional villages, enjoy nature walks, and experience the warm hospitality of the locals.",4.2,arunachal pradesh,27.7802,94.204, Daporijo Upper Subansiri Tagin
Namdapha Tiger Reserve,Changlang,Wildlife Sanctuary,"Namdapha Tiger Reserve is a renowned wildlife sanctuary located in Changlang district. It is one of the largest protected areas in the Eastern Himalayas and is known for its diverse flora and fauna. The reserve is home to elusive species like the Bengal tiger, clouded leopard, and snow leopard.",4.4,arunachal pradesh,27.1782,96.6036, Namdapha Tiger Reserve Changlang the Eastern Himalayas Bengal
Mehao Lake,Lower Dibang Valley,Lake,"Mehao Lake is a serene lake situated in Lower Dibang Valley district. It is surrounded by lush greenery and offers a peaceful environment for nature lovers. The lake is known for its clear turquoise waters and is a great spot for boating, picnicking, and enjoying the natural beauty.",4.3,arunachal pradesh,28.1265,96.8289, Mehao Lake Lower Dibang Valley lush greenery
Pakhui Wildlife Sanctuary,East Kameng,Wildlife Sanctuary,"Pakhui Wildlife Sanctuary, also known as Pakke Tiger Reserve, is a biodiversity hotspot located in East Kameng district. It is a haven for wildlife enthusiasts and nature lovers, with a wide range of flora and fauna. The sanctuary is home to several endangered species, including the Bengal tiger and the hornbill.",4.5,arunachal pradesh,27.0271,92.5563, Pakhui Wildlife Sanctuary Pakke Tiger Reserve East Kameng Bengal
Talley Valley,Talley,Valley,"Talley Valley is a picturesque valley located in the Ziro Valley region. It is known for its scenic beauty, lush green landscapes, and terraced rice fields. The valley is a perfect destination for nature enthusiasts and offers opportunities for hiking, birdwatching, and exploring the local culture.",4.3,arunachal pradesh,27.5986,93.6003, Talley Valley the Ziro Valley
Bap Teng Kang,Seppa,Scenic,"Bap Teng Kang, also known as Eagle's Nest Wildlife Sanctuary, is a scenic destination situated near Seppa. It is known for its diverse wildlife, including the endangered Arunachal macaque and various bird species. The sanctuary offers stunning views of the surrounding mountains and dense forests.",4.4,arunachal pradesh,27.2352,93.8264, Bap Teng Kang Eagle Nest Wildlife Sanctuary Seppa Arunachal
Pangchen Lakhar,Tawang,Historical,"Pangchen Lakhar, also known as the Tawang War Memorial, is a historical site dedicated to the soldiers who sacrificed their lives during the 1962 Indo-China war. It serves as a memorial and a symbol of patriotism. The site offers panoramic views of the Tawang Valley and the mighty Himalayas.",4.6,arunachal pradesh,27.6181,91.8653, Pangchen Lakhar the Tawang War Memorial 1962 Indo-China war the Tawang Valley Himalayas
Dibang Valley,Dibang Valley,Valley,"Dibang Valley is a remote and untouched valley located in the Dibang Valley district. It is known for its pristine beauty, snow-clad peaks, and meandering rivers. The valley is home to diverse flora and fauna, including the Mishmi takin and the red panda. It offers opportunities for trekking, wildlife spotting, and experiencing the tranquility of nature.",4.3,arunachal pradesh,28.0123,95.4657, Dibang Valley
Bomdila View Point,Bomdila,Scenic,"Bomdila View Point is a popular tourist spot located in Bomdila. It offers panoramic views of the Himalayan mountain ranges, including the majestic Kangto and Gorichen peaks. The view point is an ideal place to witness stunning sunrises and sunsets amidst the breathtaking landscapes.",4.4,arunachal pradesh,27.3,92.422, Bomdila View Point Bomdila Himalayan Kangto Gorichen
Tirap,Changlang,Town,"Tirap is a scenic town situated in Changlang district. It is known for its natural beauty, lush green valleys, and rich cultural heritage. The town offers a glimpse into the unique traditions and lifestyles of the local tribes, including the Nocte and Wancho tribes.",4.2,arunachal pradesh,27.18,95.25, Changlang Nocte Wancho
Bhalukpong Fort,Bhalukpong,Historical,"Bhalukpong Fort is a historic fort located in Bhalukpong town. It is believed to have been built during the reign of King Bhaluka, giving the town its name. The fort showcases architectural remnants from the past and offers insights into the region's historical significance.",4.1,arunachal pradesh,27.0333,92.5833, Bhalukpong Fort Bhalukpong King Bhaluka
Mouling National Park,West Siang,Wildlife Sanctuary,"Mouling National Park is a renowned national park located in West Siang district. It is known for its diverse wildlife, including the clouded leopard, takin, and several species of birds. The park is a paradise for nature lovers and offers opportunities for jungle safaris and birdwatching.",4.5,arunachal pradesh,28.2494,94.7805, West Siang
Sangti,Dirang,Scenic,"Sangti is a beautiful village located near Dirang. It is known for its vast apple orchards, scenic landscapes, and the Sangti Khola River. The village is a perfect destination for nature walks, birdwatching, and experiencing the local rural lifestyle.",4.3,arunachal pradesh,27.3493,92.1612, Sangti Dirang the Sangti Khola River
Rupa,Rupa,Town,"Rupa is a small town situated in the West Kameng district. It is known for its scenic beauty, apple orchards, and tea gardens. The town offers a peaceful environment, picturesque landscapes, and opportunities for nature walks and birdwatching.",4.1,arunachal pradesh,27.4562,92.2537, West Kameng apple orchards
Kakochang Waterfalls,Jorhat,Waterfall,"Kakochang Waterfalls is a captivating waterfall located near Jorhat. It is known for its scenic beauty, cascading water, and tranquil surroundings. The waterfall offers a refreshing retreat amidst nature and is an ideal spot for picnics and photography.",4.4,assam,26.6639,93.215, Kakochang Waterfalls Jorhat
Dibru-Saikhowa National Park,Dibrugarh and Tinsukia,Wildlife Sanctuary,"Dibru-Saikhowa National Park is a biodiversity hotspot located in Dibrugarh and Tinsukia districts. It is known for its unique combination of wetland and forest ecosystems. The park is home to several rare and endangered species, including the white-winged wood duck and the Bengal florican.",4.5,assam,27.3333,95.55, Dibru-Saikhowa National Park Dibrugarh Tinsukia Bengal
Hajo,Hajo,Historical,"Hajo is a historic town located on the banks of the Brahmaputra River. It is known for its religious significance and houses several important temples, including the Hayagriva Madhava Temple, Powa Mecca Mosque, and Kedareswara Temple. Hajo is considered a sacred place by Hindus, Muslims, and Buddhists.",4.2,assam,26.2476,91.5731, Hajo the Brahmaputra River the Hayagriva Madhava Temple Powa Mecca Mosque Kedareswara Temple Hindus Muslims Buddhists
Nameri National Park,Sonitpur,Wildlife Sanctuary,"Nameri National Park is a scenic wildlife sanctuary located in Sonitpur district. It is known for its rich biodiversity, including tigers, elephants, leopards, and several species of birds. The park offers activities like river rafting, birdwatching, and jungle treks, allowing visitors to explore its natural beauty.",4.3,assam,26.7906,92.6957, Nameri National Park Sonitpur
Assam State Museum,Guwahati,Museum,"Assam State Museum is a prominent museum located in Guwahati. It houses a vast collection of artifacts, sculptures, paintings, and manuscripts that depict the history, culture, and heritage of Assam. The museum is a treasure trove of knowledge and provides insights into the state's rich cultural past.",4.2,assam,26,, Assam State Museum Guwahati Assam
Digboi,Digboi,Historical,"Digboi is an oil town located in the Tinsukia district. It is known for its rich oil reserves and historical significance in the oil industry of India. Digboi features attractions such as the Digboi Oil Museum, Digboi War Cemetery, and the century-old Digboi Refinery.",4.1,assam,27.3909,95.6283, Tinsukia India the Digboi Oil Museum Digboi War Cemetery century-old Digboi Refinery
Haflong,Haflong,Hill Station,"Haflong is the only hill station in Assam, situated in the Dima Hasao district. It is known for its picturesque landscapes, rolling hills, and pleasant climate. Haflong offers opportunities for trekking, paragliding, and enjoying the scenic beauty of the region.",4.2,assam,25.1656,93.0158, Haflong Assam Dima Hasao
Panimur Waterfalls,Dima Hasao,Waterfall,"Panimur Waterfalls is a stunning waterfall located in the Dima Hasao district. It is known for its breathtaking beauty, surrounded by lush greenery and rocky cliffs. The waterfall is an ideal spot for nature lovers, photographers, and those seeking tranquility.",4.3,assam,25.2914,93.0529, Panimur Waterfalls Dima Hasao lush greenery
Orang National Park,Darrang and Sonitpur,Wildlife Sanctuary,"Orang National Park, also known as Rajiv Gandhi Orang National Park, is a wildlife sanctuary located in the Darrang and Sonitpur districts. It is known for its diverse wildlife, including the Indian rhinoceros, tigers, elephants, and various bird species. The park offers jeep safaris and birdwatching opportunities.",4.2,assam,26.6447,92.0833, Orang National Park Rajiv Gandhi Orang Darrang Sonitpur Indian safaris
Kareng Ghar,Dibrugarh,Historical,"Kareng Ghar, also known as Talatal Ghar, is a historical monument located in Dibrugarh. It was once the royal palace of the Ahom kings and is known for its unique architectural style. The monument features underground passages, secret chambers, and a multi-storied structure, showcasing the grandeur of the Ahom dynasty.",4.1,assam,27.4728,94.9179, Kareng Ghar Talatal Ghar Dibrugarh Ahom the Ahom dynasty
Pani Dihing Wildlife Sanctuary,Tinsukia,Wildlife Sanctuary,"Pani Dihing Wildlife Sanctuary is located in Tinsukia district and is known for its diverse flora and fauna. The sanctuary is home to various species of animals, including elephants, tigers, leopards, and primates. It offers opportunities for wildlife spotting, nature walks, and birdwatching.",4.2,assam,27.4525,95.3337, Tinsukia
Silchar,Silchar,City,"Silchar is the second-largest city in Assam, situated in the Cachar district. It is known for its scenic beauty, lush tea gardens, and cultural diversity. Silchar offers attractions such as the Kachari Fort, Bhubaneswar Temple, and the picturesque Barak River.",4.1,assam,24.8333,92.7782, Silchar second Assam the Kachari Fort Bhubaneswar Temple Barak River
Bherjan-Borajan-Padumoni Wildlife Sanctuary,Tinsukia,Wildlife Sanctuary,"Bherjan-Borajan-Padumoni Wildlife Sanctuary is a wildlife sanctuary located in Tinsukia district. It is known for its rich biodiversity, including various species of primates, birds, and reptiles. The sanctuary offers nature trails, birdwatching, and wildlife photography opportunities.",4.1,assam,27.604,95.4972, Bherjan-Borajan-Padumoni Wildlife Sanctuary Tinsukia
